section,label,ad_name,spend,QL,TD,CPTD,current_pain_benefit,current_content_format,current_talent_type,current_talent_name,current_production_style,current_campaign_audience,current_headline_theme,current_language
Competitive Prep,Math Kangaroo 30-Day-Prep,Math_Kangaroo_Static_30-Day-Prep_040126,373535,16,3,124512.0,Competition Prep,Graphic Explainer,,,Static Graphic,NRI (PLA),Math Competition,English
Competitive Prep,NAPLAN Boost Math,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-Boost-Math_291225,77784,13,7,11112.0,Grades & School,Graphic Explainer,,,Static Graphic,PLA,NAPLAN Preparation,English
Competitive Prep,NAPLAN Boost Math,ANZ_FB_Leads_Conv_Locations_Australia_Static_W-NAPLAN-Boost-Math_060226,63269,7,2,31635.0,Grades & School,Graphic Explainer,,,Static Graphic,Geo (BAU),Student Outcomes,English
Competitive Prep,NAPLAN 2026 Ready,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_W-NAPLAN-2026-Ready_030226,227400,36,7,32486.0,Grades & School,Graphic Explainer,Child,,Static Graphic,Lookalike (BAU),Student Outcomes,English
Competitive Prep,NAPLAN 2026 Ready,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-2026-Ready_241225,111999,11,5,22400.0,Grades & School,Graphic Explainer,,,Static Graphic,PLA,Student Outcomes,English
Competitive Prep,Olympiad Static India,Ind_FB_Premium+Parents+Income_Slotbook_Static_O-Ace-Math-Olympiad_230326,154021,0,0,,Competition Prep,Graphic Explainer,,,Static Graphic,HNI (BAU),Math Competition,English
MathFit,Hero4 Cut Asian,Video_Hero4_Cut_Asian_Version_280326,69113,8,0,,Grades & School,Product Demo,Child,,Studio,Chinese (PLA),Student Outcomes,English
MathFit,Hero4 Cut Asian,Video_Hero4_Cut_Asian_Version_030426,33937,14,1,33937.0,Confidence,Talking Head,Child,,Studio,NRI (PLA),Student Outcomes,English
MathFit,Pizza/Kitchen MathFit,ANZ_FB_Leads_Conv_int4C_Australia_Video_Pizza_020326,27803,0,0,,Fun & Engagement,Skit/Story,Child,,UGC,General,Fun & Engagement,English
MathFit,Pizza/Kitchen MathFit,USA_FB_Leads_Conv_Indian_Interests_Mobile_Networks_TV_Channel_34-55_NRI_Signup_Old-LP-Cricket_Worldcup_Creatives_NA_Video_Pizza_discount_180226,25368,1,0,,Fun & Engagement,Skit/Story,Child,,UGC,NRI (BAU),Promotional Offer,English
Influencer,Priyanshul IG,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_IG_video_290126,556831,69,14,39774.0,Grades & School,Testimonial,Influencer,Priyanshul,UGC,Influencer (BAU),Student Outcomes,English
Influencer,Priyanshul IG,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul_131025,387349,69,5,77470.0,Grades & School,Testimonial,Influencer,Priyanshul,UGC,Influencer (BAU),Student Outcomes,English
Influencer,Shweta Negi,USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,392208,27,9,43579.0,Confidence | Grades & School | Foundation Building,Testimonial,Influencer,Shweta Negi,UGC,Influencer (BAU),Social Proof | Student Outcomes,English
Influencer,Shweta Negi,USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,281217,29,14,20087.0,Grades & School,Testimonial,Influencer,Shweta Negi,UGC,Influencer,Social Proof,English
Influencer,Keerthi Telugu,USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_230126,253214,26,10,25321.0,Confidence | Grades & School | Thinking vs Calculating,Talking Head,Influencer,Keerthi,UGC,Influencer,Student Outcomes | Personalized Learning,English
Influencer,Keerthi Telugu,USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,163831,8,2,81916.0,Confidence | Grades & School | Parent Peace of Mind,Testimonial,Influencer,Keerthi,UGC,Influencer,Social Proof,English
