ad_name,ad_id,talent,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_Influencer_Videos_NA_Video_Priyanshul_250326,120243786083260529,Priyanshul,62036,3,2,2,1,62036.0,Testimonial,Video,Influencer,Priyanshul,UGC,NRI,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_Influencer_Videos_NA_Video_Video_Shalini_Inhouse_Edit_250326,120243784123060529,Shalini,14252,0,0,0,0,,Testimonial,Video,Influencer,Shalini,UGC,NRI (BAU),Personalization,Student Outcomes,English
USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_Influencer_Videos_NA_Video_Video_Shweta_Negi_250326,120243784019420529,Shweta Negi,24445,2,1,1,1,24445.0,Testimonial,Video,Influencer,Shweta Negi,UGC,NRI,Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Telugu_Advantage_Audience_Signup_LP_NA_Video_Telugu_Testimonial_Deepthi_260326,120240264972530278,Deepthi,4657,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Telugu_Expats_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Anudeep_US_200426,120241807078550278,Anudeep,8812,1,1,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Telugu_Expats_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Keerthi_US_200426,120241807078580278,Keerthi,106681,9,9,4,0,,,,,,,,,,
USA_FB_Leads_Conv_Telugu_Expats_NRI_Audience_Signup_LP_NA_Video_Telugu_Testimonial_Deepthi_260326,120240223961330278,Deepthi,2518,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Telugu_Language_Hard_Targeting_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Anudeep_US_200426,120241740256030278,Anudeep,16973,2,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_Telugu_Language_Hard_Targeting_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Keerthi_US_200426,120241740256020278,Keerthi,36625,2,2,0,0,,,,,,,,,,
USA_PFX_FB_Leads-Conv_NA_Int-Expats-Gujarati_LeadGen_NA_Video_Gujarati-Testimonial-Nidhi-Shah-021225,120235411901340278,Nidhi,12157,0,0,0,0,,Testimonial,Video,Influencer,Nidhi,UGC,Vernacular (BAU),Confidence | Grades & School | Parent Peace of Mind,Student Outcomes | Social Proof,Gujarati
