ad_name,ad_id,talent,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Influencers_Priyanshul_150426,120241792176440278,Priyanshul,21842,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Influencers_Sayani_150426,120241792176410278,Sayani Roy,904,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Perf_Influencer_Jia_US_250326,120241793503380278,Jia,15686,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Perf_Telegu_Influencer_Anudeep_US_250326,120241793503390278,Anudeep,12782,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_3_NA_Video_Influencers_Abhilasha_160426,120241792176420278,Abhilasha,3122,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_3_NA_Video_Influencers_Ana_160426,120241792176520278,Ana,193,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_3_NA_Video_Influencers_Jayashree_160426,120241792176620278,Jayashree,90511,4,3,2,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_3_NA_Video_Influencers_Nidhi_160426,120241792176340278,Nidhi,11974,1,0,1,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_3_NA_Video_Influencers_Shubhi_160426,120241792176390278,Subhi,869,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Edit_Shweta_Negi_250326,120241792176070278,Shweta Negi,3943,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Twitter_Edit_Heena_250326,120241792176140278,Heena,131,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Deepthi_US_250326,120241792176570278,Deepthi,54154,2,1,2,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Keerthi_US_250326,120241792176120278,Keerthi,53884,3,3,3,2,26942.0,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Postboost_VideoJayashree_250426,120242047201120278,Jayashree,679,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Postboost_Video_Ana_250426,120242047201100278,Ana,93,0,0,0,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Postboost_Video_Anudeep_250426,120242047201110278,Anudeep,7747,1,1,1,0,,,,,,,,,,
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Postboost_Video_Priyanka_D_250426,120242047201130278,Priyanka D,7388,0,0,0,0,,,,,,,,,,
