ad_name,ad_id,canonical,spend,QL,NRI,TQL_booked,TD,CPTD,content_format,creative_type,talent_type,talent_name,production_style,campaign_audience,pain_benefit,headline_theme,language
ANZ_PFX_FB_Leads-Conv_Australia_LAL-0to2%_ShortForm-LP-Signup_NA_Video_Testimonial-Aus-Parent_020126,120240289535030529,testimonial-aus-parent,61515,6,6,4,2,30758.0,Testimonial,Video,Parent,,UGC,Lookalike (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_int4C_Australia_Video_Testimonial-Lakshmi_060426,120244517773840529,anz_fb_leads_conv_int4c_australia_video_testimonial-lakshmi,61068,7,4,6,3,20356.0,Testimonial,Video,Parent,Lakshmi,UGC,General,Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Razorpay_Australia_Video_Testimonial-Arti_180426,120245204336540529,anz_fb_leads_conv_razorpay_australia_video_testimonial-arti,60138,5,5,3,2,30069.0,,,,,,,,,
ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_Y-Testimonial-Vishal_090326,120243024249900529,anz_fb_leads_conv_lal-ql-0to2%_australia_static_y-testimonia,59886,5,4,4,3,19962.0,Testimonial,Static,Child,Vishal,UGC,Lookalike (BAU),Grades & School,Social Proof,English
ANZ_FB_Leads_Conv_Vernac-Telugu_Australia_Video_Testimonial-Sravanthi-Telugu-Primary-Text_290126,120241412324370529,anz_fb_leads_conv_vernac-telugu_australia_video_testimonial-,59861,5,1,3,2,29931.0,Testimonial,Video,Parent,Sravanthi,UGC,Vernacular (BAU),Grades & School,Student Outcomes,Telugu
ANZ_FB_Leads_Conv_Int-Parenting_Australia_Video_Testimonial-Gunjan-Video-V2_050126,120240430019250529,anz_fb_leads_conv_int-parenting_australia_video_testimonial-,58319,7,5,6,2,29160.0,Testimonial,Video,Parent,Gunjan,UGC,Interest (BAU),Parent Peace of Mind,Social Proof,English
Static_Chinese_Ace_math_competition_030426,120240795003330278,static_chinese_ace_math_competition,55559,15,0,9,2,27780.0,Testimonial,Static,Child,,Static Graphic,NRI (PLA),Competition Prep,Math Competition,English
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_NA_Static-Strong-Math-Foundations-V2-100226,120241881033590529,strong-math-foundations-v2,55509,5,0,5,3,18503.0,Graphic Explainer,Static,,,Static Graphic,Geo (BAU),Foundation Building,Building Foundations,English
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Keerthi_US_250326,120241792176120278,perf_telegu_influencer_keerthi_us,53884,3,3,3,2,26942.0,,,,,,,,,
ANZ-UK_FB_Leads_Conv_iIndian-Expats_Singapore_Video_Cuemath-Hero-5-21s_100226,120241901445870529,anz-uk_fb_leads_conv_iindian-expats_singapore_video_cuemath-,53801,19,0,7,2,26901.0,Product Demo,Video,,,Animated,NRI (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_LAL-0to2%-AllQLs-V2_Australia_Video_Testimonial-Gunjan-V2_050126,120240430020460529,anz_fb_leads_conv_lal-0to2%-allqls-v2_australia_video_testim,53340,6,4,5,3,17780.0,Testimonial,Video,Parent,Gunjan,UGC,Lookalike (BAU),Confidence | Grades & School | Parent Peace of Mind,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_PayU_New_Audience_35-55_English_Testimonials_Part2_LeadGen_NA_Video_English_Testimonial_Grade2_Likita_090426,120241083528200278,english_testimonial_grade2_likita,52849,7,5,4,3,17617.0,Testimonial,Video,Parent,Likita,UGC,Lookalike (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Vernac-Tamil_Australia_Video_Testimonial-Kaviya-Tamil-Primary-Text_290126,120241411555940529,anz_fb_leads_conv_vernac-tamil_australia_video_testimonial-k,51404,5,0,3,2,25702.0,Testimonial,Video,Parent,Kaviya,UGC,Vernacular (BAU),Grades & School,Student Outcomes,Tamil
Static_Y-Ch-Family_230226,120238786756290278,static_y-ch-family,49852,4,2,4,2,24926.0,Graphic Explainer,Static,,,Static Graphic,Chinese (PLA),Grades & School,Student Outcomes,English
Mea_PFX_FB_Leads-Conv_NA_Int-Female_LeadGen_NA_Static-Christmas-Ho-Ho-Ho-051225,120238621825290529,christmas-ho-ho-ho,48843,6,0,4,2,24422.0,Static Graphic,Static,,,Static Graphic,PLA,Parent Peace of Mind,Promotional Offer,English
ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Kids-Rapid-Fire_090426,120244707018340529,anz_fb_leads_conv_int-parents_australia_video_kids-rapid-fir,48212,3,3,3,2,24106.0,Product Demo,Video,Child,,UGC,Interest (BAU),Foundation Building,Student Outcomes,English
ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Minal_250226,120242521403240529,anz_fb_leads_conv_lal-payu_australia_video_testimonial-minal,47537,4,1,2,2,23769.0,Testimonial,Video,Parent,Minal,UGC,Lookalike (BAU),Confidence | Grades & School | Personalization,Student Outcomes | Social Proof,English
USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Anushree_Jain_180226,120238576760360278,english_testimonial_anushree_jain,47231,2,2,2,2,23616.0,Testimonial,Video,Parent,Anushree Jain,UGC,NRI (BAU),Grades & School,Student Outcomes,English
USA_FB_Leads_Conv_Razorpay_NRI_Audience_35-55_English_Testimonials_Part2_LeadGen_NA_Video_Testimonial_Tripura_Shankar_070426,120241375869900278,testimonial_tripura_shankar,47066,6,4,3,2,23533.0,Testimonial,Video,Parent,Tripura Shankar,UGC,NRI (BAU),Grades & School,Student Outcomes,English
ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-NAPLAN-Boost-Math_290126,120241417942990529,anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-nap,45782,8,0,4,3,15261.0,Graphic Explainer,Static,,,Static Graphic,"ANZ_FB_Leads_Conv_All-Parents_LeadGen_29 (BAU, unclassified)",Grades & School,Student Outcomes,English
